[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 18:51:58|2059M 3159M 1172M 9617M
16-09 18:52:08|2059M 3159M 1172M 9617M
16-09 18:52:18|2059M 3159M 1172M 9617M
16-09 18:52:28|2059M 3159M 1172M 9617M
16-09 18:52:38|2059M 3159M 1172M 9617M
16-09 18:52:48|2059M 3159M 1172M 9617M
16-09 18:52:58|2059M 3159M 1172M 9617M
16-09 18:53:08|2059M 3159M 1172M 9617M
16-09 18:53:18|2059M 3159M 1172M 9617M
16-09 18:53:28|2059M 3159M 1172M 9617M
16-09 18:53:38|2059M 3159M 1172M 9617M
16-09 18:53:48|2059M 3159M 1172M 9616M
16-09 18:53:58|2059M 3159M 1172M 9617M
16-09 18:54:08|2059M 3159M 1172M 9616M
16-09 18:54:18|2059M 3159M 1172M 9616M
16-09 18:54:28|2017M 3159M 1172M 9658M
16-09 18:54:38|2017M 3159M 1172M 9658M
16-09 18:54:48|2027M 3159M 1172M 9648M
16-09 18:54:58|2013M 3159M 1172M 9663M
16-09 18:55:08|2013M 3159M 1172M 9663M
16-09 18:55:18|2013M 3159M 1172M 9663M
16-09 18:55:28|2049M 3159M 1172M 9627M
16-09 18:55:38|2049M 3159M 1172M 9627M
16-09 18:55:48|2049M 3159M 1172M 9627M
16-09 18:55:58|2049M 3159M 1172M 9627M
16-09 18:56:08|2049M 3159M 1172M 9627M
16-09 18:56:18|2049M 3159M 1172M 9626M
